player_person_id,player_person_fullName,player_person_currentTeam_name,player_stats_skaterStats_assists,player_stats_skaterStats_goals,side
8000120,Dummy Player 120,DET,0,1,home
8000121,Dummy Player 121,DET,1,1,home
8000122,Dummy Player 122,DET,1,1,home
8000123,Dummy Player 123,DET,0,0,home
8000124,Dummy Player 124,DET,0,0,home
8000125,Dummy Player 125,DET,0,1,home
8000126,Dummy Player 126,DET,1,0,home
8000127,Dummy Player 127,DET,0,0,home
8000128,Dummy Player 128,DET,1,1,home
8000129,Dummy Player 129,DET,0,1,home
8000130,Dummy Player 130,DET,0,0,home
8000131,Dummy Player 131,DET,1,0,home
8000132,Dummy Player 132,DET,1,0,home
8000133,Dummy Player 133,DET,1,1,home
8000134,Dummy Player 134,DET,0,0,home
8000135,Dummy Player 135,DET,0,0,home
8000136,Dummy Player 136,DET,0,2,home
8000137,Dummy Player 137,DET,0,0,home
8000560,Dummy Player 560,ATL,0,0,home
8000561,Dummy Player 561,ATL,0,0,home
8000562,Dummy Player 562,ATL,1,0,home
8000563,Dummy Player 563,ATL,0,0,home
8000564,Dummy Player 564,ATL,0,0,home
8000565,Dummy Player 565,ATL,0,0,home
8000566,Dummy Player 566,ATL,0,0,home
8000567,Dummy Player 567,ATL,1,0,home
8000568,Dummy Player 568,ATL,0,0,home
8000569,Dummy Player 569,ATL,1,0,home
8000570,Dummy Player 570,ATL,1,0,home
8000571,Dummy Player 571,ATL,0,0,home
8000572,Dummy Player 572,ATL,1,0,home
8000573,Dummy Player 573,ATL,0,0,home
8000574,Dummy Player 574,ATL,1,0,home
8000575,Dummy Player 575,ATL,0,0,home
8000576,Dummy Player 576,ATL,0,0,home
8000577,Dummy Player 577,ATL,0,1,home
