player_person_id,player_person_fullName,player_person_currentTeam_name,player_stats_skaterStats_assists,player_stats_skaterStats_goals,side
8000000,Dummy Player 0,TOR,0,0,home
8000001,Dummy Player 1,TOR,0,0,home
8000002,Dummy Player 2,TOR,0,0,home
8000003,Dummy Player 3,TOR,0,0,home
8000004,Dummy Player 4,TOR,0,0,home
8000005,Dummy Player 5,TOR,0,0,home
8000006,Dummy Player 6,TOR,0,0,home
8000007,Dummy Player 7,TOR,0,0,home
8000008,Dummy Player 8,TOR,1,1,home
8000009,Dummy Player 9,TOR,0,0,home
8000010,Dummy Player 10,TOR,0,0,home
8000011,Dummy Player 11,TOR,0,0,home
8000012,Dummy Player 12,TOR,0,0,home
8000013,Dummy Player 13,TOR,1,0,home
8000014,Dummy Player 14,TOR,0,2,home
8000015,Dummy Player 15,TOR,0,0,home
8000016,Dummy Player 16,TOR,0,2,home
8000017,Dummy Player 17,TOR,0,0,home
8000560,Dummy Player 560,ATL,0,0,home
8000561,Dummy Player 561,ATL,2,0,home
8000562,Dummy Player 562,ATL,0,0,home
8000563,Dummy Player 563,ATL,0,0,home
8000564,Dummy Player 564,ATL,1,1,home
8000565,Dummy Player 565,ATL,0,0,home
8000566,Dummy Player 566,ATL,1,0,home
8000567,Dummy Player 567,ATL,1,0,home
8000568,Dummy Player 568,ATL,0,0,home
8000569,Dummy Player 569,ATL,1,0,home
8000570,Dummy Player 570,ATL,1,2,home
8000571,Dummy Player 571,ATL,0,0,home
8000572,Dummy Player 572,ATL,1,1,home
8000573,Dummy Player 573,ATL,0,0,home
8000574,Dummy Player 574,ATL,0,0,home
8000575,Dummy Player 575,ATL,1,1,home
8000576,Dummy Player 576,ATL,0,0,home
8000577,Dummy Player 577,ATL,0,0,home
