player_person_id,player_person_fullName,player_person_currentTeam_name,player_stats_skaterStats_assists,player_stats_skaterStats_goals,side
8000320,Dummy Player 320,CHI,0,0,home
8000321,Dummy Player 321,CHI,0,0,home
8000322,Dummy Player 322,CHI,1,0,home
8000323,Dummy Player 323,CHI,1,0,home
8000324,Dummy Player 324,CHI,0,1,home
8000325,Dummy Player 325,CHI,1,0,home
8000326,Dummy Player 326,CHI,0,0,home
8000327,Dummy Player 327,CHI,0,2,home
8000328,Dummy Player 328,CHI,1,0,home
8000329,Dummy Player 329,CHI,0,0,home
8000330,Dummy Player 330,CHI,0,0,home
8000331,Dummy Player 331,CHI,0,0,home
8000332,Dummy Player 332,CHI,0,0,home
8000333,Dummy Player 333,CHI,0,0,home
8000334,Dummy Player 334,CHI,0,0,home
8000335,Dummy Player 335,CHI,0,0,home
8000336,Dummy Player 336,CHI,0,0,home
8000337,Dummy Player 337,CHI,0,1,home
8000560,Dummy Player 560,ATL,0,0,home
8000561,Dummy Player 561,ATL,0,0,home
8000562,Dummy Player 562,ATL,0,0,home
8000563,Dummy Player 563,ATL,1,0,home
8000564,Dummy Player 564,ATL,0,0,home
8000565,Dummy Player 565,ATL,1,0,home
8000566,Dummy Player 566,ATL,1,0,home
8000567,Dummy Player 567,ATL,0,1,home
8000568,Dummy Player 568,ATL,1,1,home
8000569,Dummy Player 569,ATL,1,1,home
8000570,Dummy Player 570,ATL,1,1,home
8000571,Dummy Player 571,ATL,0,0,home
8000572,Dummy Player 572,ATL,0,0,home
8000573,Dummy Player 573,ATL,0,0,home
8000574,Dummy Player 574,ATL,1,0,home
8000575,Dummy Player 575,ATL,0,0,home
8000576,Dummy Player 576,ATL,1,0,home
8000577,Dummy Player 577,ATL,0,0,home
