player_person_id,player_person_fullName,player_person_currentTeam_name,player_stats_skaterStats_assists,player_stats_skaterStats_goals,side
8000160,Dummy Player 160,PHI,0,0,home
8000161,Dummy Player 161,PHI,1,0,home
8000162,Dummy Player 162,PHI,0,0,home
8000163,Dummy Player 163,PHI,1,2,home
8000164,Dummy Player 164,PHI,0,0,home
8000165,Dummy Player 165,PHI,0,0,home
8000166,Dummy Player 166,PHI,0,0,home
8000167,Dummy Player 167,PHI,0,2,home
8000168,Dummy Player 168,PHI,1,0,home
8000169,Dummy Player 169,PHI,0,0,home
8000170,Dummy Player 170,PHI,0,0,home
8000171,Dummy Player 171,PHI,1,1,home
8000172,Dummy Player 172,PHI,1,0,home
8000173,Dummy Player 173,PHI,1,0,home
8000174,Dummy Player 174,PHI,1,0,home
8000175,Dummy Player 175,PHI,0,0,home
8000176,Dummy Player 176,PHI,1,0,home
8000177,Dummy Player 177,PHI,0,0,home
8000000,Dummy Player 0,TOR,0,0,home
8000001,Dummy Player 1,TOR,1,0,home
8000002,Dummy Player 2,TOR,1,0,home
8000003,Dummy Player 3,TOR,0,0,home
8000004,Dummy Player 4,TOR,1,0,home
8000005,Dummy Player 5,TOR,2,2,home
8000006,Dummy Player 6,TOR,0,0,home
8000007,Dummy Player 7,TOR,1,0,home
8000008,Dummy Player 8,TOR,1,0,home
8000009,Dummy Player 9,TOR,0,0,home
8000010,Dummy Player 10,TOR,0,0,home
8000011,Dummy Player 11,TOR,0,0,home
8000012,Dummy Player 12,TOR,0,0,home
8000013,Dummy Player 13,TOR,0,0,home
8000014,Dummy Player 14,TOR,0,0,home
8000015,Dummy Player 15,TOR,0,1,home
8000016,Dummy Player 16,TOR,1,0,home
8000017,Dummy Player 17,TOR,0,0,home
