player_person_id,player_person_fullName,player_person_currentTeam_name,player_stats_skaterStats_assists,player_stats_skaterStats_goals,side
8000460,Dummy Player 460,MIN,1,1,home
8000461,Dummy Player 461,MIN,0,0,home
8000462,Dummy Player 462,MIN,0,0,home
8000463,Dummy Player 463,MIN,0,0,home
8000464,Dummy Player 464,MIN,0,1,home
8000465,Dummy Player 465,MIN,0,0,home
8000466,Dummy Player 466,MIN,0,1,home
8000467,Dummy Player 467,MIN,1,0,home
8000468,Dummy Player 468,MIN,0,0,home
8000469,Dummy Player 469,MIN,0,0,home
8000470,Dummy Player 470,MIN,0,0,home
8000471,Dummy Player 471,MIN,1,0,home
8000472,Dummy Player 472,MIN,0,0,home
8000473,Dummy Player 473,MIN,0,0,home
8000474,Dummy Player 474,MIN,0,0,home
8000475,Dummy Player 475,MIN,0,0,home
8000476,Dummy Player 476,MIN,0,0,home
8000477,Dummy Player 477,MIN,0,0,home
8000260,Dummy Player 260,CLE,0,0,home
8000261,Dummy Player 261,CLE,0,0,home
8000262,Dummy Player 262,CLE,0,0,home
8000263,Dummy Player 263,CLE,0,0,home
8000264,Dummy Player 264,CLE,0,0,home
8000265,Dummy Player 265,CLE,1,0,home
8000266,Dummy Player 266,CLE,0,0,home
8000267,Dummy Player 267,CLE,0,0,home
8000268,Dummy Player 268,CLE,0,0,home
8000269,Dummy Player 269,CLE,0,0,home
8000270,Dummy Player 270,CLE,0,0,home
8000271,Dummy Player 271,CLE,0,2,home
8000272,Dummy Player 272,CLE,0,0,home
8000273,Dummy Player 273,CLE,0,0,home
8000274,Dummy Player 274,CLE,2,0,home
8000275,Dummy Player 275,CLE,0,0,home
8000276,Dummy Player 276,CLE,1,0,home
8000277,Dummy Player 277,CLE,0,0,home
