player_person_id,player_person_fullName,player_person_currentTeam_name,player_stats_skaterStats_assists,player_stats_skaterStats_goals,side
8000500,Dummy Player 500,GSW,0,0,home
8000501,Dummy Player 501,GSW,1,0,home
8000502,Dummy Player 502,GSW,0,0,home
8000503,Dummy Player 503,GSW,0,0,home
8000504,Dummy Player 504,GSW,1,0,home
8000505,Dummy Player 505,GSW,0,0,home
8000506,Dummy Player 506,GSW,0,0,home
8000507,Dummy Player 507,GSW,0,0,home
8000508,Dummy Player 508,GSW,1,0,home
8000509,Dummy Player 509,GSW,0,0,home
8000510,Dummy Player 510,GSW,0,0,home
8000511,Dummy Player 511,GSW,1,0,home
8000512,Dummy Player 512,GSW,2,2,home
8000513,Dummy Player 513,GSW,0,0,home
8000514,Dummy Player 514,GSW,0,1,home
8000515,Dummy Player 515,GSW,1,0,home
8000516,Dummy Player 516,GSW,0,0,home
8000517,Dummy Player 517,GSW,0,0,home
8000560,Dummy Player 560,ATL,0,0,home
8000561,Dummy Player 561,ATL,1,0,home
8000562,Dummy Player 562,ATL,0,0,home
8000563,Dummy Player 563,ATL,0,0,home
8000564,Dummy Player 564,ATL,0,1,home
8000565,Dummy Player 565,ATL,1,0,home
8000566,Dummy Player 566,ATL,0,1,home
8000567,Dummy Player 567,ATL,1,0,home
8000568,Dummy Player 568,ATL,2,0,home
8000569,Dummy Player 569,ATL,2,0,home
8000570,Dummy Player 570,ATL,0,0,home
8000571,Dummy Player 571,ATL,0,0,home
8000572,Dummy Player 572,ATL,0,1,home
8000573,Dummy Player 573,ATL,0,0,home
8000574,Dummy Player 574,ATL,1,0,home
8000575,Dummy Player 575,ATL,0,0,home
8000576,Dummy Player 576,ATL,0,0,home
8000577,Dummy Player 577,ATL,0,0,home
