player_person_id,player_person_fullName,player_person_currentTeam_name,player_stats_skaterStats_assists,player_stats_skaterStats_goals,side
8000240,Dummy Player 240,WAS,0,0,home
8000241,Dummy Player 241,WAS,0,0,home
8000242,Dummy Player 242,WAS,1,0,home
8000243,Dummy Player 243,WAS,0,0,home
8000244,Dummy Player 244,WAS,0,0,home
8000245,Dummy Player 245,WAS,0,2,home
8000246,Dummy Player 246,WAS,1,0,home
8000247,Dummy Player 247,WAS,1,0,home
8000248,Dummy Player 248,WAS,0,0,home
8000249,Dummy Player 249,WAS,0,0,home
8000250,Dummy Player 250,WAS,0,0,home
8000251,Dummy Player 251,WAS,0,1,home
8000252,Dummy Player 252,WAS,0,0,home
8000253,Dummy Player 253,WAS,0,0,home
8000254,Dummy Player 254,WAS,0,0,home
8000255,Dummy Player 255,WAS,0,0,home
8000256,Dummy Player 256,WAS,0,0,home
8000257,Dummy Player 257,WAS,0,0,home
8000000,Dummy Player 0,TOR,0,0,home
8000001,Dummy Player 1,TOR,0,0,home
8000002,Dummy Player 2,TOR,0,0,home
8000003,Dummy Player 3,TOR,1,0,home
8000004,Dummy Player 4,TOR,0,1,home
8000005,Dummy Player 5,TOR,1,0,home
8000006,Dummy Player 6,TOR,0,1,home
8000007,Dummy Player 7,TOR,1,0,home
8000008,Dummy Player 8,TOR,1,1,home
8000009,Dummy Player 9,TOR,0,0,home
8000010,Dummy Player 10,TOR,0,0,home
8000011,Dummy Player 11,TOR,1,0,home
8000012,Dummy Player 12,TOR,0,0,home
8000013,Dummy Player 13,TOR,0,1,home
8000014,Dummy Player 14,TOR,0,0,home
8000015,Dummy Player 15,TOR,0,0,home
8000016,Dummy Player 16,TOR,1,0,home
8000017,Dummy Player 17,TOR,0,0,home
